Event ID,LGA,Customers Interrupted,Ave Dur. (min),Reason
1758846,DRUMMOYNE,393,95.41666667,Equipment fault
1761288,MARRICKVILLE,98,173,Environmental
1761291,ROCKDALE,881,80.53968254,Equipment fault
1692767,WILLOUGHBY,67,272,Environmental
1694134,WARRINGAH,62,138.3166667,Environmental
1694607,CESSNOCK,78,1345.615385,Equipment fault
1695678,MANLY,101,25.1,Equipment fault
1696303,WOOLLAHRA,76,454.6166667,Environmental
1697951,NEWCASTLE,1032,86.96899225,Environmental
1698331,HURSTVILLE,81,30,Environmental
1698877,AUBURN,57,221,Third party
1699259,PORT STEPHENS,52,83.3,Equipment fault
1701385,LAKE MACQUARIE,2077,77.86071085,Environmental
1701996,GOSFORD,1215,222.1776316,Third party
1707277,CONCORD,539,104,Cable dig
1709119,HORNSBY,2624,131.7516141,Environmental
1710032,GOSFORD,1657,64,Environmental
1710076,PITTWATER,64,124,Equipment fault
1710525,WYONG,71,1629.633803,Environmental
1713035,SINGLETON,540,158.2314815,Equipment fault
1713230,RYDE,88,445,Equipment fault
1713812,WILLOUGHBY,511,102.5753425,Equipment fault
1714322,HORNSBY,1047,116.4518589,Environmental
1714347,SUTHERLAND,125,105.8,Environmental
1714424,MARRICKVILLE,1354,54.50147275,Equipment fault
1714748,RANDWICK,53,46,Equipment fault
1716231,SUTHERLAND,1533,48,Environmental
1716969,MARRICKVILLE,85,60.7,Environmental
1673616,NORTH SYDNEY,53,9.316666667,Environmental
1675866,SUTHERLAND,1233,90.23600973,Equipment fault
1678402,WYONG,361,132.7209945,Equipment fault
1679483,WOOLLAHRA,73,126.55,Environmental
1680109,SUTHERLAND,114,35.93220339,Equipment fault
1680155,WARRINGAH,53,258.6,Equipment fault
1682139,WYONG,1780,45.03074343,Equipment fault
1683713,LEICHHARDT,64,85,Operating fault
1686158,PORT STEPHENS,571,84,Environmental
1688341,SUTHERLAND,51,288.0333333,Equipment fault
1688980,NEWCASTLE,127,516,Equipment fault
1657007,RYDE,107,107.35,Environmental
1658291,CONCORD,82,100.7833333,Equipment fault
1660366,LAKE MACQUARIE,1824,123.976477,Equipment fault
1661464,SUTHERLAND,101,10,Environmental
1661871,HORNSBY,922,135,Environmental
1664145,ROCKDALE,109,165,Environmental
1664373,RANDWICK,201,208.0845771,Cable dig
1665104,GOSFORD,1373,80.4858798,Environmental
1666400,WOOLLAHRA,52,609.8333333,Equipment fault
1666429,WYONG,63,225,Equipment fault
1627085,KU-RING-GAI,1029,108.7660194,Environmental
1629805,LANE COVE,55,117,Third party
1642622,WYONG,153,122.1895425,Equipment fault
1645493,CESSNOCK,183,15,Environmental
1646561,HURSTVILLE,103,431.8666667,Equipment fault
1648539,WYONG,710,136.3431786,Environmental
1580992,SOUTH SYDNEY,111,154,Environmental
1598472,MOSMAN,76,321.95,Equipment fault
1601642,MERRIWA,66,85,Equipment fault
1605625,RANDWICK,90,120.25,Third party
1606112,SYDNEY,115,54.95652174,Equipment fault
1609886,SUTHERLAND,79,54.31666667,Equipment fault
1611619,HORNSBY,372,223.311828,Environmental
1613532,KU-RING-GAI,664,283.2936747,Environmental
1618837,WOOLLAHRA,151,193,Environmental
1563818,WARRINGAH,8170,75,Environmental
1564016,GOSFORD,97,72.29896907,Third party
1566142,SUTHERLAND,147,54.05442177,Equipment fault
1569871,RYDE,78,58.76666667,Third party
1572452,LEICHHARDT,2081,103.6219981,Equipment fault
1572537,WOOLLAHRA,154,162,Equipment fault
1573972,HURSTVILLE,1646,13,Environmental
1574590,PORT STEPHENS,74,135.2166667,Equipment fault
1575317,SUTHERLAND,122,246,Environmental
1577823,PITTWATER,151,184.3,Equipment fault
1537658,BANKSTOWN,64,50,Environmental
1540656,SCONE,265,285.3169811,Equipment fault
1542786,MANLY,58,203.7166667,Environmental
1549446,SUTHERLAND,2731,21.16295214,Equipment fault
1550960,SUTHERLAND,1228,157.7728013,Environmental
1552936,SOUTH SYDNEY,818,85,Equipment fault
1555286,SINGLETON,321,644.5919003,Environmental
1557312,LAKE MACQUARIE,276,155,Equipment fault
1559035,NEWCASTLE,2471,44.75677863,Environmental
1559560,ROCKDALE,2278,110.7401229,Equipment fault
1520809,LAKE MACQUARIE,115,293.973913,Equipment fault
1522914,GOSFORD,169,43,Environmental
1525494,PORT STEPHENS,675,6.004424779,Equipment fault
1535135,GOSFORD,64,140,Equipment fault
1497643,WYONG,54,777,Equipment fault
1499547,ROCKDALE,125,157,Equipment fault
1475148,WAVERLEY,110,184,Customer installation
1477399,BANKSTOWN,857,124.3294529,Equipment fault
1478680,SOUTH SYDNEY,66,81.75,Equipment fault
1479451,STRATHFIELD,88,115,Environmental
1479497,SINGLETON,402,181.6336634,Equipment fault
1483482,HORNSBY,64,41,Environmental
1486728,LAKE MACQUARIE,105,47,Equipment fault
1488230,LEICHHARDT,234,110.1965957,Equipment fault
1488630,HORNSBY,79,468,Equipment fault
1488740,HUNTERS HILL,805,239.6757426,Environmental
1492810,PITTWATER,2063,56,Equipment fault
1493389,WYONG,75,47.15,Equipment fault
1450636,DRUMMOYNE,57,278.3833333,Equipment fault
1451741,WYONG,72,516.6833333,Third party
1453381,NEWCASTLE,92,196.55,Equipment fault
1454338,CANADA BAY,848,126.0259128,Equipment fault
1455862,BANKSTOWN,66,488.2333333,Equipment fault
1456346,BOTANY,3069,80.96945076,Equipment fault
1457014,SUTHERLAND,862,172.3953757,Equipment fault
1457754,WARRINGAH,2819,9,Operating fault
1458199,BANKSTOWN,79,123.7166667,Equipment fault
1426716,KOGARAH,240,35,Equipment fault
1426730,ROCKDALE,422,105,Equipment fault
1444378,KU-RING-GAI,1145,68.1211857,Environmental
1444542,SUTHERLAND,55,596,Equipment fault
1408278,MAITLAND,458,115.3427332,Environmental
1408565,WOOLLAHRA,60,126.0666667,Environmental
1409772,LEICHHARDT,58,31,Environmental
1414855,NEWCASTLE,100,204.95,Equipment fault
1417827,GOSFORD,169,1,Equipment fault
1417923,MOSMAN,3261,12.36561447,Environmental
1419760,HORNSBY,85,189,Equipment fault
1844938,HURSTVILLE,56,665.0333333,Equipment fault
1845374,HUNTERS HILL,51,50,Equipment fault
1846296,GOSFORD,473,153.6976744,Third party
1850867,CESSNOCK,55,55,Third party
1851788,SUTHERLAND,98,70,Environmental
1852765,HORNSBY,72,189.0166667,Environmental
1853630,MARRICKVILLE,60,15.08333333,Environmental
1853969,CONCORD,82,9.85,Equipment fault
1855906,WARRINGAH,53,8.95,Equipment fault
1857539,KOGARAH,114,60,Environmental
1859046,BANKSTOWN,739,55,Environmental
1859057,NEWCASTLE,2406,105.470759,Equipment fault
1859458,NORTH SYDNEY,118,184.0333333,Environmental
1860501,WOOLLAHRA,79,318.7333333,Environmental
1860568,ROCKDALE,66,49.95,Equipment fault
1822145,SUTHERLAND,73,153.4166667,Equipment fault
1822333,HORNSBY,703,120,Environmental
1822592,HORNSBY,167,192.6946108,Environmental
1822642,NORTH SYDNEY,115,291.95,Environmental
1823607,KU-RING-GAI,88,112,Equipment fault
1824538,WARRINGAH,71,75.43333333,Equipment fault
1827380,NEWCASTLE,1044,69.68199234,Equipment fault
1830060,RANDWICK,67,40,Equipment fault
1830987,WYONG,79,169,Equipment fault
1833165,ROCKDALE,64,172.3833333,Equipment fault
1835410,BANKSTOWN,63,60,Equipment fault
1836962,MANLY,60,140,Equipment fault
1836730,WYONG,107,171.6728972,Environmental
1839120,CESSNOCK,94,104.7234043,Environmental
1839568,WILLOUGHBY,82,33.83333333,Environmental
1842186,SOUTH SYDNEY,53,3116.886792,Equipment fault
1805382,WARRINGAH,53,36,Environmental
1807711,SYDNEY,1393,67.97991392,Equipment fault
1809580,LAKE MACQUARIE,56,90.05263158,Equipment fault
1809913,MERRIWA,181,610.8563536,Environmental
1809920,AUBURN,240,81.71666667,Equipment fault
1810599,HORNSBY,73,131.3333333,Equipment fault
1811515,BOTANY,406,59.53186275,Equipment fault
1811536,MUSWELLBROOK,869,88,Environmental
1811570,KOGARAH,865,164.3166667,Environmental
1811907,SUTHERLAND,102,390,Environmental
1812778,SUTHERLAND,56,164.4666667,Environmental
1815687,MAITLAND,57,125,Equipment fault
1817499,MARRICKVILLE,90,448.7666667,Environmental
1819369,NORTH SYDNEY,67,215.8656716,Equipment fault
1779981,LAKE MACQUARIE,61,148.3114754,Third party
1782097,WARRINGAH,1330,77.01353383,Equipment fault
1782472,WARRINGAH,67,65,Environmental
1782790,KOGARAH,56,65.91666667,Equipment fault
1782976,NEWCASTLE,107,61,Equipment fault
1784052,WARRINGAH,55,122.95,Equipment fault
1784247,WOOLLAHRA,118,262,Equipment fault
1787323,CESSNOCK,104,47.15512821,Equipment fault
1787656,SUTHERLAND,161,127.7166667,Equipment fault
1787795,LAKE MACQUARIE,937,60,Environmental
1787867,BANKSTOWN,3017,113.7319417,Equipment fault
1787965,CANTERBURY,52,356.4166667,Environmental
1788090,HORNSBY,98,97.66,Environmental
1788475,WARRINGAH,57,122.1833333,Environmental
1790067,HURSTVILLE,203,94.72413793,Cable dig
1790578,RANDWICK,160,70,Equipment fault
1792815,SUTHERLAND,2016,72.67360079,Equipment fault
1792928,WAVERLEY,97,211.8556701,Third party
1794461,BANKSTOWN,730,70.51639344,Environmental
1795044,BOTANY,57,110.05,Environmental
1795786,WOOLLAHRA,2146,118.0093197,Equipment fault
1795888,LEICHHARDT,51,157,Environmental
1795922,CANADA BAY,97,125.1546392,Environmental
1795930,KU-RING-GAI,358,890.9498607,Environmental
1796816,GOSFORD,685,96.99125364,Environmental
1797063,CESSNOCK,60,150.6333333,Environmental
1797205,CANTERBURY,67,95.5,Third party
1797790,WYONG,776,95.37113402,Environmental
1764404,ASHFIELD,54,48.71666667,Environmental
1764427,AUBURN,107,347.9666667,Environmental
1766166,GOSFORD,788,152.0443599,Equipment fault
1767450,SOUTH SYDNEY,2715,88.47697974,Equipment fault
1769468,BANKSTOWN,58,69,Environmental
1774832,BANKSTOWN,65,138.2333333,Equipment fault
1775029,RANDWICK,354,64,Equipment fault
1775371,PITTWATER,67,954.8,Environmental
1778248,WOOLLAHRA,150,355.6833333,Environmental
1778292,LAKE MACQUARIE,68,73,Environmental
1717989,HORNSBY,52,94.03333333,Environmental
1718200,PITTWATER,88,85,Environmental
1718454,LAKE MACQUARIE,66,192,Environmental
1718682,MUSWELLBROOK,93,92.10638298,Environmental
1720336,BOTANY,975,102.8852459,Equipment fault
1721783,SUTHERLAND,90,266,Environmental
1721714,ROCKDALE,67,8,Environmental
1724017,GOSFORD,850,89,Environmental
1725833,WYONG,84,40,Operating fault
1727777,STRATHFIELD,112,131.7678571,Environmental
1728414,HURSTVILLE,67,97,Equipment fault
1729006,SINGLETON,183,19.92896175,Equipment fault
1730496,BANKSTOWN,496,1061.993976,Equipment fault
1730641,NORTH SYDNEY,1860,70.38709677,Equipment fault
1730713,NEWCASTLE,59,299.1166667,Environmental
1731171,HURSTVILLE,1693,125.8465171,Equipment fault
1731362,GOSFORD,2171,68,Environmental
1731828,WYONG,184,66,Equipment fault
1732810,HORNSBY,964,203.692228,Equipment fault
1743932,CANTERBURY,57,295,Environmental
1745758,WILLOUGHBY,59,60,Environmental
1746353,KU-RING-GAI,69,52.06666667,Environmental
1750155,CANTERBURY,215,1065,Third party
1751068,GOSFORD,51,13.91666667,Environmental
1754464,RYDE,67,700,Equipment fault
1757158,HORNSBY,80,171.35,Environmental
1758751,PORT STEPHENS,498,150,Equipment fault
1761414,WYONG,81,30,Equipment fault
1691942,GOSFORD,1327,54.15900528,Equipment fault
1692958,NEWCASTLE,159,322.1166667,Equipment fault
1694456,LAKE MACQUARIE,69,26.75,Third party
1696044,BOTANY,87,329.35,Environmental
1587985,CANTERBURY,72,5,Third party
1588033,CANTERBURY,1297,104,Equipment fault
1589030,LEICHHARDT,57,56.71666667,Third party
1590990,LAKE MACQUARIE,67,100,Equipment fault
1593916,GOSFORD,1519,53.28308097,Equipment fault
1594812,ROCKDALE,141,1256,Environmental
1600083,GOSFORD,1279,133.952381,Equipment fault
1600194,SCONE,265,394.9811321,Environmental
1600197,AUBURN,71,78.58333333,Equipment fault
1600462,SOUTH SYDNEY,73,1353.8,Equipment fault
1600480,CANTERBURY,126,322,Equipment fault
1600728,KOGARAH,119,220,Equipment fault
1601647,MERRIWA,90,177,Equipment fault
1606578,SINGLETON,55,124,Environmental
1607993,BANKSTOWN,53,117,Environmental
1608781,BOTANY,703,71.84921764,Operating fault
1609330,GOSFORD,1273,74,Third party
1609708,WARRINGAH,61,110.5333333,Equipment fault
1609906,STRATHFIELD,105,95,Third party
1611922,WYONG,94,111.5789474,Environmental
1613876,GOSFORD,1038,82.60693642,Environmental
1615744,WOOLLAHRA,73,35.33333333,Environmental
1616307,ROCKDALE,89,203,Equipment fault
1616356,MARRICKVILLE,72,108.7833333,Environmental
1616488,KOGARAH,105,124,Third party
1617468,MOSMAN,206,834,Equipment fault
1618180,AUBURN,61,51,Equipment fault
1618675,HURSTVILLE,1021,113.0146915,Environmental
1619222,GOSFORD,321,328.7058824,Environmental
1621099,BANKSTOWN,62,726.1333333,Equipment fault
1622239,WARRINGAH,682,71.00732064,Environmental
1626510,MERRIWA,56,1074,Equipment fault
1625388,WYONG,60,52.35,Environmental
1626101,CESSNOCK,3566,34,Environmental
1626118,SINGLETON,91,304.5164835,Environmental
1626141,MAITLAND,454,166.4004376,Environmental
1562530,WYONG,1437,61.29923452,Equipment fault
1562577,WYONG,901,136.8213097,Environmental
1563605,RYDE,88,124.9833333,Environmental
1566085,KU-RING-GAI,60,685.7,Equipment fault
1566693,SINGLETON,413,38,Environmental
1567347,SUTHERLAND,854,122.077193,Environmental
1568124,LAKE MACQUARIE,72,17,Third party
1569341,RYDE,53,120.7666667,Environmental
1569489,WAVERLEY,305,289.0819672,Equipment fault
1570688,WILLOUGHBY,742,81,Cable dig
1573307,CESSNOCK,2140,1.041743119,Environmental
1574549,HURSTVILLE,201,69.43283582,Equipment fault
1579262,MARRICKVILLE,88,150.0666667,Equipment fault
1580063,HURSTVILLE,56,263,Equipment fault
1537701,RYDE,53,51.21666667,Environmental
1539248,BANKSTOWN,2022,320.3379447,Equipment fault
1540179,KU-RING-GAI,641,106.8736349,Equipment fault
1540757,NEWCASTLE,2473,55.74848607,Equipment fault
1541172,SOUTH SYDNEY,92,326,Equipment fault
1542017,MUSWELLBROOK,1436,143.2214485,Equipment fault
1551247,WYONG,2158,108.1936979,Equipment fault
1552365,NORTH SYDNEY,299,15.1638796,Environmental
1554808,WILLOUGHBY,69,126,Environmental
1555300,SINGLETON,144,617.8125,Equipment fault
1555740,SINGLETON,70,355.1267606,Equipment fault
1557070,PITTWATER,1191,113.2804366,Equipment fault
1557153,AUBURN,71,85.95,Environmental
1559104,GOSFORD,351,108.4757835,Environmental
1559359,WYONG,811,96.56596794,Equipment fault
1561395,MANLY,2016,113.656746,Environmental
1515724,HORNSBY,1699,85.76190476,Environmental
1516586,WILLOUGHBY,272,39.7080292,Equipment fault
1520737,HURSTVILLE,127,824.7559055,Equipment fault
1522248,MARRICKVILLE,1085,59.6961326,Equipment fault
1522785,WARRINGAH,60,46,Equipment fault
1522835,WILLOUGHBY,110,145,Environmental
1528941,SCONE,225,270,Third party
1530611,KU-RING-GAI,52,240,Environmental
1532238,LAKE MACQUARIE,885,91.34085779,Equipment fault
1532932,LANE COVE,65,147.9166667,Equipment fault
1533248,AUBURN,62,260,Equipment fault
1535287,BANKSTOWN,98,160.2333333,Equipment fault
1535329,CANTERBURY,62,237.0666667,Equipment fault
1538458,MAITLAND,1052,44.46197719,Environmental
1536369,NEWCASTLE,56,250,Environmental
1537595,HORNSBY,56,400.75,Equipment fault
1500033,BOTANY,105,74,Third party
1500314,CESSNOCK,4152,10.8042379,Third party
1500437,WAVERLEY,1142,53,Equipment fault
1502690,SUTHERLAND,650,99.59447005,Cable dig
1504092,RYDE,62,107.05,Environmental
1507383,WYONG,292,214.1917808,Equipment fault
1508083,SOUTH SYDNEY,1999,112.4647676,Equipment fault
1509456,AUBURN,287,132.1875,Third party
1510616,MAITLAND,1016,3.260570305,Equipment fault
1511308,MANLY,242,125,Equipment fault
1476417,HURSTVILLE,1330,72.76801802,Equipment fault
1482021,HURSTVILLE,163,49,Equipment fault
1485193,BANKSTOWN,673,119.9166667,Equipment fault
1487687,KU-RING-GAI,1298,76.31639723,Equipment fault
1488400,PORT STEPHENS,93,240,Equipment fault
1488684,AUBURN,69,59.81666667,Environmental
1490403,WYONG,2897,32.87633483,Equipment fault
1491276,PORT STEPHENS,2165,52.81319188,Equipment fault
1491388,GOSFORD,1918,22,Equipment fault
1492162,PORT STEPHENS,1688,36.20165583,Environmental
1447091,KU-RING-GAI,619,64,Environmental
1449539,PITTWATER,325,48,Environmental
1450630,RYDE,71,1067,Equipment fault
1450675,NEWCASTLE,88,50,Environmental
1451166,SYDNEY,139,47.97122302,Equipment fault
1452773,WARRINGAH,1988,141.6290161,Equipment fault
1455432,NEWCASTLE,65,323,Environmental
1456414,MARRICKVILLE,81,96.43333333,Equipment fault
1458013,CESSNOCK,134,11.08955224,Equipment fault
1458093,CANTERBURY,113,71.56666667,Equipment fault
1458449,LAKE MACQUARIE,95,75,Equipment fault
1458488,BANKSTOWN,83,465.4166667,Equipment fault
1462082,WAVERLEY,269,327.9182156,Equipment fault
1464016,AUBURN,91,46.82795699,Equipment fault
1464162,MARRICKVILLE,72,48.78333333,Equipment fault
1464187,GOSFORD,60,85,Environmental
1464706,SOUTH SYDNEY,151,1096.398013,Equipment fault
1465142,WILLOUGHBY,57,455.4833333,Equipment fault
1467168,WILLOUGHBY,89,304,Equipment fault
1467709,RYDE,62,225,Third party
1468011,WAVERLEY,752,154.1699867,Equipment fault
1469539,GOSFORD,223,39,Environmental
1469786,RANDWICK,63,258.9,Environmental
1470454,SYDNEY,85,225,Equipment fault
1472308,SINGLETON,90,315.8222222,Equipment fault
1426074,HORNSBY,1218,97,Environmental
1429779,RYDE,1188,144.7816961,Environmental
1431131,BANKSTOWN,62,56,Environmental
1432980,HORNSBY,73,96.5,Equipment fault
1433109,BANKSTOWN,898,76.31777778,Equipment fault
1436190,NORTH SYDNEY,1424,76,Equipment fault
1437098,BOTANY,317,50.72171254,Equipment fault
1437111,HORNSBY,507,136.4230019,Equipment fault
1437266,NORTH SYDNEY,114,270,Equipment fault
1437748,CESSNOCK,1275,76.05176471,Environmental
1440097,PITTWATER,56,418.6,Equipment fault
1440025,PITTWATER,114,34.12280702,Equipment fault
1442060,LANE COVE,1483,53,Environmental
1442079,GOSFORD,1530,34.65796345,Equipment fault
1442333,LAKE MACQUARIE,50,155.0166667,Equipment fault
1442356,STRATHFIELD,54,278.6166667,Equipment fault
1442756,GOSFORD,57,55.08333333,Equipment fault
1443533,RANDWICK,89,851.7666667,Environmental
1445080,MAITLAND,373,165.95,Environmental
1445429,HORNSBY,3040,53.79382797,Environmental
1405469,KOGARAH,1525,90,Environmental
1409911,CANTERBURY,699,83.57631954,Environmental
1410204,WARRINGAH,123,25.20325203,Customer installation
1410800,CESSNOCK,892,114.5515695,Environmental
1411056,WARRINGAH,109,117.6697248,Equipment fault
1412996,WYONG,115,455,Equipment fault
1414556,RYDE,61,63,Third party
1419838,KU-RING-GAI,21051,8.721074871,Third party- upstream fault
1420315,WARRINGAH,54,31.6,Environmental
1420645,MUSWELLBROOK,51,160.3666667,Equipment fault
1421066,SUTHERLAND,71,151.1598592,Equipment fault
1422770,HORNSBY,131,151.648855,Third party
1423155,BANKSTOWN,4164,205,Environmental
1423202,WARRINGAH,686,46,Environmental
1425598,SINGLETON,92,18.61290323,Environmental
1425709,BANKSTOWN,95,79.15,Equipment fault
1425907,LAKE MACQUARIE,60,186.9833333,Environmental
1744965,CANTERBURY,52,963.1833333,Equipment fault
1750327,WARRINGAH,108,90,Equipment fault
1746217,MUSWELLBROOK,580,131.5614458,Equipment fault
1746531,KU-RING-GAI,65,209.8687179,Equipment fault
1750619,MARRICKVILLE,84,77.9,Equipment fault
1750633,CANTERBURY,108,45,Environmental
1757750,BANKSTOWN,1086,412.4244323,Equipment fault
1754799,WILLOUGHBY,53,95.25,Environmental
1755427,MANLY,809,103.0580964,Environmental
1758263,MARRICKVILLE,84,20,Environmental
1759609,MAITLAND,74,62,Environmental
1691966,LAKE MACQUARIE,1036,58,Equipment fault
1693341,MARRICKVILLE,63,51.9,Equipment fault
1695606,RYDE,849,81.69544924,Equipment fault
1696951,WILLOUGHBY,58,26,Environmental
1697556,KOGARAH,76,596.1,Equipment fault
1697770,NORTH SYDNEY,130,62.52272727,Equipment fault
1699407,GOSFORD,849,47,Environmental
1700117,CESSNOCK,601,308.8903654,Environmental
1701635,GOSFORD,1204,104.6575908,Equipment fault
1706378,SUTHERLAND,61,41,Environmental
1707046,BANKSTOWN,60,167.95,Third party
1708064,RANDWICK,2293,110.2989107,Equipment fault
1710096,HORNSBY,1158,62.71072961,Equipment fault
1710338,WARRINGAH,57,30,Environmental
1712175,SCONE,1055,71.83033175,Equipment fault
1712652,RANDWICK,90,347,Third party
1713735,CANTERBURY,119,135,Operating fault
1716047,KU-RING-GAI,526,64,Environmental
1716680,ROCKDALE,79,40.86666667,Equipment fault
1716766,ROCKDALE,84,295.3,Environmental
1716932,SUTHERLAND,84,95.1,Environmental
1670952,CANTERBURY,62,102.8166667,Environmental
1671202,KU-RING-GAI,75,53.81666667,Third party
1676612,GOSFORD,81,154.4666667,Equipment fault
1677650,GOSFORD,2298,154.3550914,Environmental
1678060,LEICHHARDT,138,96,Third party
1679708,WARRINGAH,71,197,Environmental
1680679,SUTHERLAND,82,45,Equipment fault
1682316,LEICHHARDT,71,25,Environmental
1681809,RYDE,418,88.25358852,Cable dig
1682597,PITTWATER,326,98.33027523,Environmental
1682851,LAKE MACQUARIE,102,55,Equipment fault
1682779,PITTWATER,56,733.6166667,Equipment fault
1684202,SUTHERLAND,67,42,Equipment fault
1684769,LAKE MACQUARIE,1322,112.8253012,Equipment fault
1685702,CESSNOCK,78,500.1333333,Environmental
1685813,WAVERLEY,51,348.1730769,Equipment fault
1687254,ROCKDALE,74,501,Equipment fault
1688122,ROCKDALE,2571,150.9351204,Equipment fault
1688481,SUTHERLAND,591,334,Equipment fault
1689242,WILLOUGHBY,60,102.9,Environmental
1689692,KU-RING-GAI,73,72.5,Cable dig
1689834,CONCORD,65,175,Third party
1690174,STRATHFIELD,122,390.1401639,Environmental
1652798,GOSFORD,105,70,Environmental
1653589,LAKE MACQUARIE,529,113.1106942,Equipment fault
1654984,BANKSTOWN,1071,84.88625592,Equipment fault
1655771,WOOLLAHRA,145,239.2166667,Equipment fault
1657796,AUBURN,1647,72.17179024,Equipment fault
1658068,WOOLLAHRA,145,1058.6,Equipment fault
1658908,BANKSTOWN,89,30,Operating fault
1659122,BURWOOD,58,60,Environmental
1659215,AUBURN,71,40,Environmental
1660276,ROCKDALE,55,15,Equipment fault
1660856,STRATHFIELD,242,76.41735537,Cable dig
1661645,CONCORD,80,575,Third party
1662119,STRATHFIELD,79,735,Environmental
1664224,BOTANY,87,125,Environmental
1664374,WARRINGAH,2615,72.72192513,Equipment fault
1669265,HURSTVILLE,77,390,Environmental
1669522,NORTH SYDNEY,70,190,Equipment fault
1626722,MARRICKVILLE,87,170.55,Equipment fault
1626942,WYONG,160,20,Equipment fault
1628156,LAKE MACQUARIE,104,274.7373397,Equipment fault
1629135,MOSMAN,105,49,Third party
1629575,SUTHERLAND,192,554.9583333,Operating fault
1629662,CANTERBURY,61,80.45901639,Environmental
1630331,WYONG,334,123.0119403,Equipment fault
1631667,CANTERBURY,107,60,Equipment fault
1632178,KU-RING-GAI,52,140.3166667,Environmental
1638916,PITTWATER,1025,105,Environmental
1641073,SUTHERLAND,723,81,Environmental
1642391,HURSTVILLE,89,44,Equipment fault
1644043,CESSNOCK,1028,49.21262136,Equipment fault
1644549,LAKE MACQUARIE,1949,27,Environmental
1645453,WYONG,704,117.2400568,Environmental
1647103,NEWCASTLE,733,9,Equipment fault
1649613,KU-RING-GAI,5392,24.59150751,Equipment fault
1650211,SINGLETON,71,536.5352113,Environmental
1652379,WARRINGAH,61,228.1833333,Environmental
1583631,HORNSBY,117,86.42948718,Equipment fault
1844883,CANTERBURY,114,1250,Equipment fault
1846079,KOGARAH,593,60,Environmental
1846341,STRATHFIELD,161,92.78333333,Equipment fault
1852491,MARRICKVILLE,112,141.1517857,Equipment fault
1857247,MANLY,287,135.8152729,Equipment fault
1858350,BANKSTOWN,78,73.08333333,Equipment fault
1860079,RYDE,90,94.65,Equipment fault
1822335,WYONG,150,363,Environmental
1827830,LAKE MACQUARIE,795,147.4007538,Equipment fault
1829668,SOUTH SYDNEY,1688,73.4937833,Equipment fault
1830952,RYDE,72,188,Environmental
1831380,WARRINGAH,63,81.91666667,Equipment fault
1832741,GOSFORD,57,20,Equipment fault
1779887,RANDWICK,128,208.6132813,Equipment fault
1717660,RYDE,69,868.0833333,Equipment fault
